complaint;category
Sir, there is no dustbin provided in the market area of Bishnupur so people throw garbage on the road. Waiting for your response.;Waste Management
Every day while going to work through Latehar the bridge near Lakhanpur is damaged and vehicles are struggling to cross it. Requesting you to resolve this soon.;Infrastructure & Roads
I am a student studying in Jamshedpur and the nearest school for higher secondary is very far from Khunti and many students drop out because of this.;Education
Sir, garbage has not been collected from our street in Chatra for over a week. Kindly send someone to check as soon as possible.;Waste Management
Hello, the primary health centre in Koderma has no doctor available most days. We are really worried about the health of our children.;Public Health
Every morning in Dhanbad there is no dustbin provided in the market area of Gumla so people throw garbage on the road. Kindly send someone to check as soon as possible.;Waste Management
We residents of Tamar colony want to bring to your notice that we cannot sit outside in the evening because of smoke from the nearby factory chimney. Requesting you to resolve this soon.;Air & Environmental Pollution
Hello, the CCTV cameras installed near Dhanbad market have not been working for months. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
Respected Authority, waste from the nearby slaughterhouse is being dumped near Devgarh without any treatment. Requesting you to resolve this soon.;Waste Management
I have been farming in Dumka for many years and there has been no proper storage facility in Shivpuri and a lot of our grain gets spoiled every year. Requesting you to resolve this soon.;Agriculture & Rural Development
Dear Officer, there is no dustbin provided in the market area of Karra so people throw garbage on the road. Please help us as soon as possible.;Waste Management
The anganwadi centre in Jamtara has not distributed nutrition supplements in months. Please send a doctor to our health centre soon.;Public Health
We residents of Palamu want to inform you that the transformer near Koderma keeps tripping and causing frequent power fluctuations. Hope for quick action from your side.;Energy & Sustainability
Respected Authority, power supply in Bundu keeps going off every time it rains. Kindly restore the power supply as soon as possible.;Energy & Sustainability
Sir ji, there has been no streetlight on the road near Lakhanpur for over 20 months. This needs to be fixed immediately.;Infrastructure & Roads
Hello, people are dumping waste in the open plot near Latehar and it is attracting stray animals. Kindly send someone to check as soon as possible.;Waste Management
Sir, the transformer near Shivpuri keeps tripping and causing frequent power fluctuations. Kindly take necessary action.;Energy & Sustainability
Sir ji, factory waste is being dumped into the river near Karra which we use for drinking water. Please help us as soon as possible.;Water Quality & Sanitation
Our school in Bishnupur there is only one teacher for the entire primary school in Manjhgaon. We have been complaining about this for a long time now.;Education
Respected Sir/Madam, there has been an outbreak of dengue in Ranchi and the health department has not sprayed anything. This needs to be fixed immediately.;Public Health
